Image ID	Data Group	Block ID	Captured Date	File Location	ScanScope ID
110468	Human IBD Samples	MS-15-31334_I1	1/29/18 16:51	\\RNDUSSHNAS02\aperio_2\Immunology\2018-01-29\110468.svs	WPRDUSBNR5BZ1
110469	Human IBD Samples	MS-15-31334_J1	1/29/18 16:52	\\RNDUSSHNAS02\aperio_2\Immunology\2018-01-29\110469.svs	WPRDUSBNR5BZ1
110470	Human IBD Samples	MS-15-9792_H1	1/29/18 16:53	\\RNDUSSHNAS02\aperio_2\Immunology\2018-01-29\110470.svs	WPRDUSBNR5BZ1
110472	Human IBD Samples	MS-15-9792_J1	1/29/18 16:54	\\RNDUSSHNAS02\aperio_2\Immunology\2018-01-29\110472.svs	WPRDUSBNR5BZ1
110473	Human IBD Samples	MS-15-20203_J1	1/29/18 16:55	\\RNDUSSHNAS02\aperio_2\Immunology\2018-01-29\110473.svs	WPRDUSBNR5BZ1
110474	Human IBD Samples	MS-15-20203_K1	1/29/18 16:56	\\RNDUSSHNAS02\aperio_2\Immunology\2018-01-29\110474.svs	WPRDUSBNR5BZ1
110476	Human IBD Samples	MS-15-12795_H1	1/29/18 16:57	\\RNDUSSHNAS02\aperio_2\Immunology\2018-01-29\110476.svs	WPRDUSBNR5BZ1
110477	Human IBD Samples	MS-15-30005_H1	1/29/18 16:57	\\RNDUSSHNAS02\aperio_2\Immunology\2018-01-29\110477.svs	WPRDUSBNR5BZ1
110480	Human IBD Samples	MS-15-30005_K1	1/29/18 17:00	\\RNDUSSHNAS02\aperio_2\Immunology\2018-01-29\110480.svs	WPRDUSBNR5BZ1
110481	Human IBD Samples	MS-15-32154_I1	1/29/18 17:00	\\RNDUSSHNAS02\aperio_2\Immunology\2018-01-29\110481.svs	WPRDUSBNR5BZ1
110482	Human IBD Samples	MS-15-32154_J1	1/29/18 17:02	\\RNDUSSHNAS02\aperio_2\Immunology\2018-01-29\110482.svs	WPRDUSBNR5BZ1
110483	Human IBD Samples	MS-15-32154_K1	1/29/18 17:02	\\RNDUSSHNAS02\aperio_2\Immunology\2018-01-29\110483.svs	WPRDUSBNR5BZ1
110484	Human IBD Samples	MS-15-30583_H1	1/29/18 17:03	\\RNDUSSHNAS02\aperio_2\Immunology\2018-01-29\110484.svs	WPRDUSBNR5BZ1
110486	Human IBD Samples	MS-15-30583_I1	1/29/18 17:04	\\RNDUSSHNAS02\aperio_2\Immunology\2018-01-29\110486.svs	WPRDUSBNR5BZ1
110487	Human IBD Samples	MS-15-30583_J1	1/29/18 17:05	\\RNDUSSHNAS02\aperio_2\Immunology\2018-01-29\110487.svs	WPRDUSBNR5BZ1
110488	Human IBD Samples	MS-16-01613_K1	1/29/18 17:05	\\RNDUSSHNAS02\aperio_2\Immunology\2018-01-29\110488.svs	WPRDUSBNR5BZ1
110490	Human IBD Samples	MS-16-01613_M1	1/29/18 17:07	\\RNDUSSHNAS02\aperio_2\Immunology\2018-01-29\110490.svs	WPRDUSBNR5BZ1
110491	Human IBD Samples	MS-16-01613_N1	1/29/18 17:07	\\RNDUSSHNAS02\aperio_2\Immunology\2018-01-29\110491.svs	WPRDUSBNR5BZ1
110492	Human IBD Samples	MS-15-29636_F1	1/29/18 17:08	\\RNDUSSHNAS02\aperio_2\Immunology\2018-01-29\110492.svs	WPRDUSBNR5BZ1
110493	Human IBD Samples	MS-15-29636_G1	1/29/18 17:09	\\RNDUSSHNAS02\aperio_2\Immunology\2018-01-29\110493.svs	WPRDUSBNR5BZ1
110494	Human IBD Samples	MS-15-29636_H1	1/29/18 17:10	\\RNDUSSHNAS02\aperio_2\Immunology\2018-01-29\110494.svs	WPRDUSBNR5BZ1
110497	Human IBD Samples	MS-15-31438_C1	1/29/18 17:12	\\RNDUSSHNAS02\aperio_2\Immunology\2018-01-29\110497.svs	WPRDUSBNR5BZ1
110498	Human IBD Samples	MS-15-22523_D1	1/29/18 17:13	\\RNDUSSHNAS02\aperio_2\Immunology\2018-01-29\110498.svs	WPRDUSBNR5BZ1
110499	Human IBD Samples	MS-15-22523_E1	1/29/18 17:13	\\RNDUSSHNAS02\aperio_2\Immunology\2018-01-29\110499.svs	WPRDUSBNR5BZ1
110500	Human IBD Samples	MS-15-17627_C1	1/29/18 17:14	\\RNDUSSHNAS02\aperio_2\Immunology\2018-01-29\110500.svs	WPRDUSBNR5BZ1
110501	Human IBD Samples	MS-15-17627_B1	1/29/18 17:15	\\RNDUSSHNAS02\aperio_2\Immunology\2018-01-29\110501.svs	WPRDUSBNR5BZ1
110503	Human IBD Samples	MS-15-07901_J1	1/29/18 17:16	\\RNDUSSHNAS02\aperio_2\Immunology\2018-01-29\110503.svs	WPRDUSBNR5BZ1
110505	Human IBD Samples	MS-15-07901_L1	1/29/18 17:17	\\RNDUSSHNAS02\aperio_2\Immunology\2018-01-29\110505.svs	WPRDUSBNR5BZ1
110506	Human IBD Samples	MS-15-17950_J1	1/29/18 17:18	\\RNDUSSHNAS02\aperio_2\Immunology\2018-01-29\110506.svs	WPRDUSBNR5BZ1
110507	Human IBD Samples	MS-15-17950_I1	1/29/18 17:19	\\RNDUSSHNAS02\aperio_2\Immunology\2018-01-29\110507.svs	WPRDUSBNR5BZ1
110508	Human IBD Samples	MS-15-34373_J1	1/29/18 17:19	\\RNDUSSHNAS02\aperio_2\Immunology\2018-01-29\110508.svs	WPRDUSBNR5BZ1
110509	Human IBD Samples	MS-15-34373_I1	1/29/18 17:20	\\RNDUSSHNAS02\aperio_2\Immunology\2018-01-29\110509.svs	WPRDUSBNR5BZ1
